Lumiconger arafura
Macrocephenchelys brachialis
Macrocephenchelys brevirostris
Parabathymyrus brachyrhynchus
Parabathymyrus fijiensis
Parabathymyrus karrerae
Parabathymyrus macrophthalmus
Parabathymyrus oregoni
Paraconger californiensis
Paraconger caudilimbatus
Paraconger guianensis
Paraconger macrops
Paraconger notialis
Paraconger ophichthys
Paraconger similis
Poeciloconger kapala
Promyllantor adenensis
Promyllantor atlanticus
Promyllantor purpureus
Pseudophichthys splendens
Rhynchoconger ectenurus
Rhynchoconger flavus
Rhynchoconger gracilior
Rhynchoconger guppyi
Rhynchoconger nitens
Rhynchoconger squaliceps
Rhynchoconger trewavasae
Scalanago lateralis
Uroconger drachi
Uroconger erythraeus
Uroconger lepturus
Uroconger syringinus
Xenomystax atrarius
Xenomystax austrinus
Xenomystax bidentatus
Xenomystax congroides
Xenomystax trucidans
Derichthys serpentinus
Nessorhamphus danae
Nessorhamphus ingolfianus
Panturichthys fowleri
Panturichthys isognathus
Panturichthys longus
Panturichthys mauritanicus
Pythonichthys asodes
Pythonichthys macrurus
Pythonichthys microphthalmus
Pythonichthys sanguineus
Moringua abbreviata
Moringua arundinacea
Moringua bicolor
Moringua edwardsi
Moringua ferruginea
Moringua javanica
Moringua macrocephalus
Moringua macrochir
Moringua microchir
Moringua penni
Moringua raitaborua
Neoconger mucronatus
Neoconger tuberculatus
Neoconger vermiformis
Congresox talabon
Congresox talabonoides
Cynoponticus coniceps
Cynoponticus ferox
Cynoponticus savanna
Gavialiceps arabicus
Gavialiceps bertelseni
Gavialiceps javanicus
Gavialiceps taeniola
Gavialiceps taiwanensis
Muraenesox bagio
Muraenesox cinereus
Muraenesox yamaguchiensis
Oxyconger leptognathus
Anarchias allardicei
Anarchias cantonensis
Anarchias euryurus
Anarchias exulatus
Anarchias galapagensis
Anarchias leucurus
Anarchias longicaudis
Anarchias schultzi
Anarchias seychellensis
Anarchias similis
Anarchias supremus
Channomuraena bauchotae
Channomuraena vittata
Cirrimaxilla formosa
Diaphenchelys pelonates
Echidna amblyodon
Echidna catenata
Echidna delicatula
Echidna leucotaenia
Echidna nebulosa
Echidna nocturna
Echidna peli
Echidna polyzona
Echidna rhodochilus
Echidna unicolor
Echidna xanthospilos
Enchelycore anatina
Enchelycore bayeri
Enchelycore bikiniensis
Enchelycore carychroa
Enchelycore kamara
Enchelycore lichenosa
Enchelycore nigricans
Enchelycore nycturanus
Enchelycore octaviana
Enchelycore pardalis
Enchelycore ramosa
Enchelycore schismatorhynchus
Enchelycore tamarae
Enchelynassa canina
Gymnomuraena zebra
Gymnothorax afer
Gymnothorax albimarginatus
Gymnothorax angusticauda
Gymnothorax angusticeps
Gymnothorax annasona
Gymnothorax annulatus
Gymnothorax atolli
Gymnothorax australicola
Gymnothorax austrinus
Gymnothorax bacalladoi
Gymnothorax baranesi
Gymnothorax bathyphilus
Gymnothorax berndti
Gymnothorax breedeni
Gymnothorax buroensis
Gymnothorax castaneus
Gymnothorax castlei
Gymnothorax cephalospilus
Gymnothorax chilospilus
Gymnothorax chlamydatus
Gymnothorax conspersus
Gymnothorax cribroris
Gymnothorax davidsmithi
Gymnothorax dorsalis
Gymnothorax dovii
Gymnothorax elegans
Gymnothorax emmae
Gymnothorax enigmaticus
Gymnothorax equatorialis
Gymnothorax eurostus
Gymnothorax eurygnathos
Gymnothorax favagineus
Gymnothorax fimbriatus
Gymnothorax flavimarginatus
Gymnothorax flavoculus
Gymnothorax formosus
Gymnothorax funebris
Gymnothorax fuscomaculatus
Gymnothorax gracilicauda
Gymnothorax griseus
Gymnothorax hansi
Gymnothorax hepaticus
Gymnothorax herrei
Gymnothorax hubbsi
Gymnothorax intesi
Gymnothorax isingteena
Gymnothorax javanicus
Gymnothorax johnsoni
Gymnothorax kidako
Gymnothorax kolpos
Gymnothorax kontodontos
Gymnothorax longinquus
Gymnothorax maderensis
Gymnothorax mareei
Gymnothorax margaritophorus
