Bufo verrucosissimus
Rana longicrus
Philautus surdus
Platymantis guppyi
Rana igorota
Paa spinosa
Rana kampeni
Uperodon systoma
Afrixalus osorioi
Rana amurensis coreana
Limnonectes leytensis
Euphlyctis cyanophlyctis
Hoplobatrachus crassus
Bufo biporcatus philippinicus
Platymantis papuensis papuensis
"Allobates talamancae (Cope, 1875)"
"Atelopus elegans (Boulenger, 1882)"
"Rhaebo blombergi (Myers & Funkhouser, 1951)"
"Craugastor raniformis (Boulenger, 1896)"
"Colostethus alacris (Rivero & Granados-Díaz, 1990)"
"Ranitomeya bombetes (Myers & Daly, 1980)"
"Ranitomeya minuta (Shreve, 1935)"
"Hyloxalus lehmanni (Silverstone, 1971)"
"Pristimantis acatallelus (Lynch & Ruiz-Carranza, 1983)"
"Pristimantis brevifrons (Lynch, 1981)"
Smilisca phaeota
Platymantis papuensis
Litoria modica
Litoria darlingtoni
Platymantis aculeodactylus
Litoria genimaculata
Pristimantis viejas
Pristimantis taeniatus
Scaphiopus holbrooki
Anaxyrus fowleri
Discoglossus galganoi
Pleurodema cinereum
Rana albolabris
Centrolene prosoblepon
Rana lepus
Hyperolius sp
Bufo bufo bufo
Breviceps adspersus
Arthroleptis xenodactyloides
Pipa myersi
Eleutherodactylus rogersi
Telmatobius simonsi
Leptodactylus leptodactyloides
Conraua crassipes
Trichobatrachus robustus
Leptopelis millsoni
Petropedetes parkeri
Phrynobatrachus cornutus
Hyperolius pardalis
Hyperolius fusciventris burtoni
Afrixalus paradorsalis
Arthroleptis sylvaticus
Hyla rubra
Pseudopaludicola pusilla
Dendrophryniscus minutus
Lithobates forreri
Smilisca baudinii
Centrolene papillahallicum
Eleutherodactylus heminota
Rhacophorus catamitus
Eleutherodactylus gossei
Hyla walkeri
Scaphiopus couchi
Hyla eximia
Leptodactylus melanonotus
Hyla cyanomma
Hyla calthula
Ptychohyla zophodes
Ptychohyla acrochorda
Gastrophryne elegans
Rhinophrynus dorsalis
Amietia angolensis
Scaphiopus couchii
Acris crepitans
Hyla squirella
Acris gryllus
Spea intermontana
Anaxyrus boreas
Anaxyrus woodhousii
Hyla chrysoscelis/versicolor
Lithobates clamitans
Pseudacris clarkii
Pseudacris streckeri
Scaphiopus holbrookii
Anaxyrus punctatus
Lithobates catesbeianus
Hyla cinerea
Lithobates berlandieri
Hyla chrysoscelis /versicolor
Scaphiopus couchii
Rana erythraea
Heleioporus albopunctatus
Elachistocleis ovalis
Dendrobates tinctorius
Alytes muletensis
Pleurodema bufoninum
Eleutherodactylus portoricensis
Ptychadena christyi
Ptychohyla spinipollex
Litoria lesueuri
Hyla rubra
Hyperolius nasutus nasutus
Hyperolius viridiflavus xanthogrammus
Eleutherodactylus
Arthroleptis adelphus
Nectophryne afra
Atelopus senex
Rhacophorus nigropalmatus
Xenopus
Hyalinobatrachium colymbiphyllum
Smilisca sordida
Hyla rivularis
Microhyla fissipes
Phrynobatrachus plicatus
Hyla dendroscarta
Fejervarya limnocharis
Hyperolius platyceps major
Hyperolius kivuensis kivuensis
Hylodes
